commentNum,href,id,image,introduce,name,quote,star
378712,https://movie.douban.com/subject/1291832/,71,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994/美国/剧情喜剧犯罪,低俗小说,none,8.8
272554,https://movie.douban.com/subject/1292849/,72,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情历史战争,拯救大兵瑞恩,none,8.9
395713,https://movie.douban.com/subject/1293544/,73,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...1991/美国/剧情犯罪惊悚,沉默的羔羊,none,8.7
710030,https://movie.douban.com/subject/3742360/,74,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,none,8.7
408856,https://movie.douban.com/subject/26580232/,75,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,none,8.7
428171,https://movie.douban.com/subject/1292343/,76,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,none,8.7
346360,https://movie.douban.com/subject/2149806/,77,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...2008/日本/剧情,入殓师,none,8.8
281261,https://movie.douban.com/subject/1292679/,78,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997/香港日本韩国/剧情爱情同性,春光乍泄,none,8.8
117881,https://movie.douban.com/subject/1418019/,79,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,none,9.3
201673,https://movie.douban.com/subject/1293172/,80,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...1987/意大利中国大陆英国法国/剧情传记历史,末代皇帝,none,9.0
250014,https://movie.douban.com/subject/3072124/,81,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...2009/澳大利亚/剧情动画,玛丽和马克思,none,8.9
306631,https://movie.douban.com/subject/1292656/,82,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...1997/美国/剧情,心灵捕手,none,8.8
305825,https://movie.douban.com/subject/1291875/,83,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994/中国大陆香港/剧情,阳光灿烂的日子,none,8.8
262624,https://movie.douban.com/subject/1297359/,84,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...1997/日本/动作爱情战争动画奇幻冒险,幽灵公主,none,8.8
261109,https://movie.douban.com/subject/1297630/,85,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...1999/美国/剧情悬疑惊悚,第六感,none,8.8
363966,https://movie.douban.com/subject/11525673/,86,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,none,8.8
373294,https://movie.douban.com/subject/1291999/,87,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...1994/香港/剧情爱情,重庆森林,none,8.7
300350,https://movie.douban.com/subject/1295038/,88,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint2001/美国英国/奇幻冒险,哈利·波特与魔法石,none,8.7
404987,https://movie.douban.com/subject/2334904/,89,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010/美国/剧情悬疑惊悚,禁闭岛,none,8.7
